year,month,country,region,avg_temp_c,precipitation_mm,air_quality_index,uv_index,malaria_cases,dengue_cases,population_density,healthcare_budget
2000,1,Palestinian Territory,Central,28.132468063511386,152.0838703804775,110.48723149040352,12.0,53,145,113,1068
2000,2,Palestinian Territory,Central,30.88649972223074,119.59141823104753,83.46792798067438,12.0,132,48,113,1068
2000,3,Palestinian Territory,Central,31.36643344015962,95.87612443335908,93.09529207135105,12.0,34,80,113,1068
2000,4,Palestinian Territory,Central,28.48186993189119,175.31573105149235,105.53019245682084,9.395894453848678,23,133,113,1068
2000,5,Palestinian Territory,Central,26.89037036563162,191.4459901712983,60.20597925287605,9.9357263227321,39,74,113,1068
2000,6,Palestinian Territory,Central,21.39015259601766,185.06712559420887,97.27185344090937,10.53868486048978,106,54,113,1068
2000,7,Palestinian Territory,Central,16.795182700699627,155.61186250537662,102.81532433650487,12.0,42,93,113,1068
2000,8,Palestinian Territory,Central,13.049005598801102,231.75660358122997,102.1247574502059,12.0,100,88,113,1068
2000,9,Palestinian Territory,Central,16.924361079235045,114.81432845894074,91.63153215145931,11.06924115147418,56,52,113,1068
2000,10,Palestinian Territory,Central,15.933061054633832,171.35230566206383,103.92273919952812,8.116281213432796,78,120,113,1068
2000,11,Palestinian Territory,Central,17.91255170082724,27.3860443220141,125.76315788545766,10.844533399798237,1,86,113,1068
2000,12,Palestinian Territory,Central,20.852963048302957,215.63617359406982,93.14519422219529,12.0,62,96,113,1068
2001,1,Palestinian Territory,Central,28.142664037036884,122.37179848779635,87.61797615829751,12.0,87,128,113,1068
2001,2,Palestinian Territory,Central,33.037341865887576,182.01476847086715,112.74935082017412,11.478393670426373,139,78,113,1068
2001,3,Palestinian Territory,Central,31.658030529236964,115.76719612608818,103.9752895889023,10.735597442058552,69,103,113,1068
2001,4,Palestinian Territory,Central,32.82105315696258,64.36738743758319,98.14739051505475,12.0,80,60,113,1068
2001,5,Palestinian Territory,Central,32.256763907542606,87.49223480141987,88.25086466039069,12.0,26,147,113,1068
2001,6,Palestinian Territory,Central,27.68007859117925,108.63175015366912,73.93861981434252,10.083638024488526,25,44,113,1068
2001,7,Palestinian Territory,Central,21.85780319561104,274.61422410529445,107.30489154145718,11.034163383576677,37,140,113,1068
2001,8,Palestinian Territory,Central,14.341097988648484,240.58098957740793,84.32916006620782,12.0,94,65,113,1068
2001,9,Palestinian Territory,Central,11.26562433422204,133.35708210600828,46.21546478319915,11.160454101358944,70,36,113,1068
2001,10,Palestinian Territory,Central,15.80606506705876,140.310794765949,83.89697336544613,11.318890703125746,68,58,113,1068
